,UserID,party,country,start,end,term,Photo,Gender,Death,Twitter,Homepage,Facebook,Instagram,Mail,date_brith,place_brith,url,full,aliases
2327,1269,Det Konservative Folkeparti,Denmark,2007-11-29T00:00:00,2009-07-13T00:00:00,6.0,https://www.europarl.europa.eu/mepphoto/1269.jpg,M,,,,,,,1936-11-02T00:00:00,Rødovre,http://www.europarl.europa.eu/meps/en/1269/name/cv,Christian ROVSING,"['Christian ROVSING', 'ROVSING', 'ROVSING Christian']"
2328,1320,Partido Socialista Obrero Español,Spain,1986-01-01T00:00:00,1987-07-05T00:00:00,2.0,https://www.europarl.europa.eu/mepphoto/1320.jpg,M,,,,,,,1939-09-01T00:00:00,Barcelona,http://www.europarl.europa.eu/meps/en/1320/name/cv,Xavier RUBERT DE VENTÓS,"['RUBERT DE VENTÓS', 'RUBERT DE VENTÓS Xavier', 'Xavier RUBERT DE VENTÓS']"
2329,1320,Partido Socialista Obrero Español,Spain,1987-07-06T00:00:00,1989-07-24T00:00:00,2.0,https://www.europarl.europa.eu/mepphoto/1320.jpg,M,,,,,,,1939-09-01T00:00:00,Barcelona,http://www.europarl.europa.eu/meps/en/1320/name/cv,Xavier RUBERT DE VENTÓS,"['RUBERT DE VENTÓS', 'RUBERT DE VENTÓS Xavier', 'Xavier RUBERT DE VENTÓS']"
2330,1320,Partit dels Socialistes de Catalunya,Spain,1989-07-25T00:00:00,1994-07-18T00:00:00,3.0,https://www.europarl.europa.eu/mepphoto/1320.jpg,M,,,,,,,1939-09-01T00:00:00,Barcelona,http://www.europarl.europa.eu/meps/en/1320/name/cv,Xavier RUBERT DE VENTÓS,"['RUBERT DE VENTÓS', 'RUBERT DE VENTÓS Xavier', 'Xavier RUBERT DE VENTÓS']"
2331,28378,Partido Popular,Spain,2004-07-20T00:00:00,2008-03-31T00:00:00,6.0,https://www.europarl.europa.eu/mepphoto/28378.jpg,F,,,,,,,1950-12-14T00:00:00,Sevilla,http://www.europarl.europa.eu/meps/en/28378/name/cv,Luisa Fernanda RUDI UBEDA,"['Luisa Fernanda RUDI UBEDA', 'RUDI UBEDA', 'RUDI UBEDA Luisa Fernanda']"
2332,714,Partito socialista italiano,Italy,1979-07-17T00:00:00,1983-09-30T00:00:00,1.0,https://www.europarl.europa.eu/mepphoto/714.jpg,M,,,,,,,1926-08-14T00:00:00,Roma,http://www.europarl.europa.eu/meps/en/714/name/cv,Giorgio RUFFOLO,"['Giorgio RUFFOLO', 'RUFFOLO', 'RUFFOLO Giorgio']"
2333,714,Indipendenti di sinistra,Italy,1994-07-19T00:00:00,1999-07-19T00:00:00,4.0,https://www.europarl.europa.eu/mepphoto/714.jpg,M,,,,,,,1926-08-14T00:00:00,Roma,http://www.europarl.europa.eu/meps/en/714/name/cv,Giorgio RUFFOLO,"['Giorgio RUFFOLO', 'RUFFOLO', 'RUFFOLO Giorgio']"
2334,714,Democratici di Sinistra,Italy,1999-07-20T00:00:00,2004-07-19T00:00:00,5.0,https://www.europarl.europa.eu/mepphoto/714.jpg,M,,,,,,,1926-08-14T00:00:00,Roma,http://www.europarl.europa.eu/meps/en/714/name/cv,Giorgio RUFFOLO,"['Giorgio RUFFOLO', 'RUFFOLO', 'RUFFOLO Giorgio']"
2335,1246,Centro Democràtico y Social,Spain,1989-07-25T00:00:00,1994-07-18T00:00:00,3.0,https://www.europarl.europa.eu/mepphoto/1246.jpg,F,,,,,,,1947-08-10T00:00:00,Madrid,http://www.europarl.europa.eu/meps/en/1246/name/cv,Guadalupe RUIZ-GIMÉNEZ AGUILAR,"['Guadalupe RUIZ-GIMÉNEZ AGUILAR', 'RUIZ-GIMÉNEZ AGUILAR', 'RUIZ-GIMÉNEZ AGUILAR Guadalupe']"
2336,985,Agrupación de Electores José María Ruiz-Mateos,Spain,1989-07-25T00:00:00,1994-07-18T00:00:00,3.0,https://www.europarl.europa.eu/mepphoto/985.jpg,M,,,,,,,1931-04-11T00:00:00,Rota (Cádiz),http://www.europarl.europa.eu/meps/en/985/name/cv,José María RUIZ-MATEOS JIMÉNEZ DE TEJADA,"['José María RUIZ-MATEOS JIMÉNEZ DE TEJADA', 'RUIZ-MATEOS JIMÉNEZ DE TEJADA', 'RUIZ-MATEOS JIMÉNEZ DE TEJADA José María']"
2337,715,Democrazia cristiana,Italy,1979-07-17T00:00:00,1984-07-23T00:00:00,1.0,https://www.europarl.europa.eu/mepphoto/715.jpg,M,,,,,,,1915-06-16T00:00:00,Vicenza,http://www.europarl.europa.eu/meps/en/715/name/cv,Mariano RUMOR,"['Mariano RUMOR', 'RUMOR', 'RUMOR Mariano']"
2338,2121,Kansallinen Kokoomus,Finland,1995-01-01T00:00:00,1996-11-10T00:00:00,4.0,https://www.europarl.europa.eu/mepphoto/2121.jpg,F,,,,,,,1940-12-18T00:00:00,Mikkeli,http://www.europarl.europa.eu/meps/en/2121/name/cv,Pirjo RUSANEN,"['Pirjo RUSANEN', 'RUSANEN', 'RUSANEN Pirjo']"
2339,72759,Partidul Democrat-Liberal,Romania,2008-06-24T00:00:00,2009-07-13T00:00:00,6.0,https://www.europarl.europa.eu/mepphoto/72759.jpg,M,,,,,,,1970-07-05T00:00:00,Cluj-Napoca,http://www.europarl.europa.eu/meps/en/72759/name/cv,Flaviu Călin RUS,"['Flaviu Călin RUS', 'RUS', 'RUS Flaviu Călin']"
2340,4431,I Democratici,Italy,1999-07-20T00:00:00,2004-07-19T00:00:00,5.0,https://www.europarl.europa.eu/mepphoto/4431.jpg,M,,,,,,,1954-06-14T00:00:00,Roma,http://www.europarl.europa.eu/meps/en/4431/name/cv,Francesco RUTELLI,"['Francesco RUTELLI', 'RUTELLI', 'RUTELLI Francesco']"
